ui_number,ffl_number,ffl_type,ffl_proprietor,ffl_proprietor_2,ffl_address,ffl_city,ffl_state,ffl_zip,ffl_county,inspection_assign_date,inspection_complete_date,revocation_effective_date,final_disposition,revocation_warranted,violations,report_url
782110-2017-0133-B1B,5-74-355-02-9A-35291,Pawnbroker,Cash America Pawn LP,Cash America Pawn Of Corpus Christi #3,2908 S Port Ave,Corpus Christi,TX,78405,Nueces,2016-12-20,2017-02-13,,Warning letter,N,"478.126a, 478.129(b), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/782110-2017-0133-B1B.pdf
760555-2017-0076-B1B,1-58-273-01-8F-01678,Dealer,"Heath, Ralph Gerald",Metal Werk,1051 Bronwood Highway,Dawson,GA,39842,Terrell,2016-11-15,2017-02-10,,Warning letter,N,"478.124(a), 478.102(a)(1), 478.126a, 478.125(e), 478.124(c)(3)(iv), 478.124(c)(1), 478.21(a), 478.131(a)(2), 478.124(c)(5)",https://atf-inspection-reports.s3.amazonaws.com/760555-2017-0076-B1B.pdf
760555-2017-0012-B1B,1-58-279-07-9K-06481,Manufacturer,Kavod Custom LLC,Vidalia Police Supply,110 E Meadows St,Vidalia,GA,30474,Toombs,2016-10-04,2016-11-15,,Warning letter,N,"478.102(a)(1), 478.123(a), 478.123(d), 478.124(c)(1), 478.124(c)(3)(iv), 478.124(c)(4)",https://atf-inspection-reports.s3.amazonaws.com/760555-2017-0012-B1B.pdf
781110-2017-0071-B1B,5-75-303-07-9C-08143,Manufacturer,Henson Bryan Edgar,Guns Up Hydrographics,11804 University Ste KK,Lubbock,TX,79423,Lubbock,2016-11-09,2016-12-16,,Warning letter,N,"478.124(c)(3)(i), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/781110-2017-0071-B1B.pdf
775060-2016-0129-B1B,4-55-005-01-8J-35794,Dealer,"Ferguson, Gary R",,6972 Six Mile Rd,Danville,WV,25053,Boone,2015-12-14,2016-09-28,,Warning letter,N,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/775060-2016-0129-B1B.pdf
776070-2017-0077-B1B,1-62-059-02-8C-02400,Pawnbroker,US Title Loans And Pawn Shop Of Greenville LLC,US Pawn & Gun Store,780 West Andrew Johnson Hwy,Greeneville,TN,37745,Greene,2016-10-06,2017-04-04,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/776070-2017-0077-B1B.pdf
768035-2016-0067-B1B,1-54-003-01-8H-11206,Dealer,"Shron Egg, LLC",Acme Arms,1145 River Rd. St 1,Charlottesville,VA,22901,Albemarle,2015-10-29,2016-03-17,,Warning letter,N,"478.125(e), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.126a, 478.103(c)",https://atf-inspection-reports.s3.amazonaws.com/768035-2016-0067-B1B.pdf
760530-2016-0075-B1B,1-58-089-02-7E-19428,Pawnbroker,"Coker, Leonard K. & Knight, Robert H.",National Pawn Shop,3972 Lawrenceville Highway,Tucker,GA,30084,Dekalb,2015-11-04,2016-06-13,,Warning letter,N,"478.21(a), 478.124(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/760530-2016-0075-B1B.pdf
775045-2017-0020-B1B,4-35-175-07-8L-04926,Manufacturer,Dalren Enterprises LLC,Yeager Constitutional Arms,3180 S Pixley Knob Rd,Pekin,IN,47165,Washington,2016-10-03,2016-12-29,,Warning letter,N,"478.125(e), 478.124(a), 478.102(a)",https://atf-inspection-reports.s3.amazonaws.com/775045-2017-0020-B1B.pdf
787065-2015-0400-B1B,9-82-031-02-6E-34923,Pawnbroker,Mark Martin,E-z Money,126 Overland Ave,Burley,ID,83318,Cassia,2015-08-04,2016-02-11,,Warning letter,N,"478.21(a), 478.103(b), 478.124(b), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/787065-2015-0400-B1B.pdf
773015-2017-0245-B1B,4-31-049-07-8E-05224,Manufacturer,"Tack-driver Arms, LLC",,6970 Grate Park Drive,New Albany,OH,43054,Franklin,2016-11-14,2017-01-26,,Warning letter,N,"478.126a, 478.123(d)",https://atf-inspection-reports.s3.amazonaws.com/773015-2017-0245-B1B.pdf
773015-2016-0399-B1B,4-31-049-07-8H-05289,Manufacturer,"Bryan, Joseph Thomas",Superior Ordnance,1114 Gahanna Parkway,Gahanna,OH,43230,Franklin,2016-03-23,2016-03-31,,Warning letter,N,"478.21(a), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.123(a), 478.123(b), 478.123(d), 478.124(c)(1)",https://atf-inspection-reports.s3.amazonaws.com/773015-2016-0399-B1B.pdf
785110-2015-0250-B1B,9-86-013-01-7F-04678,Dealer,"Bates, H Allen",S & S Firearms,906 S. Priest Dr. #104,Tempe,AZ,85281,Maricopa,2015-07-31,2015-09-01,,Warning letter,N,"478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/785110-2015-0250-B1B.pdf
777040-2017-0115-B1B,5-72-039-01-7G-02255,Dealer,"Soileau, Brett A",Industrial Service & Supply,1212 W Lincoln Rd,Ville Platte,LA,70586,Evangeline Parish,2016-11-29,2017-03-31,,Warning letter,N,"478.125(e), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.126a, 478.129(b)",https://atf-inspection-reports.s3.amazonaws.com/777040-2017-0115-B1B.pdf
763075-2017-0086-B1B,1-57-047-07-6D-04224,Manufacturer,"Greeenwood Guns & Gear, Inc",,142B Crosscreek Connector,Greenwood,SC,29649,Greenwood,2016-10-18,2017-04-04,,Warning letter,N,"478.123(d), 478.21(a), 478.126a, 478.131(a)(2), 478.124(c)(1)",https://atf-inspection-reports.s3.amazonaws.com/763075-2017-0086-B1B.pdf
785090-2016-0165-B1B,9-86-021-01-6G-06494,Dealer,"Bayne, Aaron Lee",Ab Firearms Refinishing,17586 N Thornwood Rd,Maricopa,AZ,85139,Pinal,2016-03-22,2016-04-20,,Warning letter,N,"478.125(e), 478.21(a), 478.124(c)(4)",https://atf-inspection-reports.s3.amazonaws.com/785090-2016-0165-B1B.pdf
773015-2017-0362-B1B,4-31-113-01-9K-04516,Dealer,Vandalia Tactical Supply LLC,Vandalia Tactical,312 N. Dixie Dr.,Vandalia,OH,45377,Montgomery,2017-02-16,2017-05-08,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.125(e), 478.39a",https://atf-inspection-reports.s3.amazonaws.com/773015-2017-0362-B1B.pdf
760560-2016-0138-B1B,1-58-121-01-8B-08393,Dealer,"Chuck's Firearms, Inc.",,3099 Peachtree Road NE,Atlanta,GA,30305,Fulton,2016-01-21,2016-08-25,,Warning letter,N,"478.124(c)(3)(iv), 478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/760560-2016-0138-B1B.pdf
772070-2016-0075-B1B,3-37-163-07-6M-01855,Manufacturer,Double Nickel LLC,Detonics Defense Technologies,"609 S Breese St., Suite 101",Millstadt,IL,62260,St. Clair,2016-01-13,2016-09-15,,Warning letter,N,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/772070-2016-0075-B1B.pdf
779055-2017-0086-B1B,5-43-113-01-7D-08540,Dealer,"Halbrook, Gary Wayne",GH Guns,1237 Highway V,Elsberry,MO,63343,Lincoln,2016-10-26,2016-11-21,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.126a, 478.125(e), 478.129(b)",https://atf-inspection-reports.s3.amazonaws.com/779055-2017-0086-B1B.pdf
760530-2016-0035-B1B,1-58-059-01-7F-04750,Dealer,"Sporting Arms, Inc.",,159 Parkview Road,Winterville,GA,30683,Clarke,2015-10-16,2016-09-13,,Warning letter,N,"478.124(c)(3)(iv), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(5), 478.102(a)(1), 478.99(c)(9), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/760530-2016-0035-B1B.pdf
773015-2017-0116-B1B,4-31-049-01-8D-36391,Dealer,"Aimhi, Inc.",,10299 Johnstown Rd.,New Albany,OH,43054,Franklin,2016-10-06,2017-03-22,,Warning letter,N,"478.124(c)(3)(iv), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/773015-2017-0116-B1B.pdf
773015-2015-0024-B1B,4-31-113-02-7M-36776,Pawnbroker,Loan Star Pawn Shop. Inc. (the),,5335 N. Dixie Dr.,Dayton,OH,45414,Montgomery,2015-09-10,2015-09-30,,Warning letter,N,"478.125(e), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/773015-2015-0024-B1B.pdf
763025-2017-0049-B1B,1-56-173-01-7D-03913,Dealer,"Queen, Ricky S.",Maras Guns And Ammo,14 Range Dr,Cherokee,NC,28719,Swain,2016-10-19,2017-01-20,,Warning letter,N,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/763025-2017-0049-B1B.pdf
774050-2016-0046-B1B,4-38-041-07-7K-06109,Manufacturer,Marbles Gun Sights Inc.,,623 Rains Drive,Gladstone,MI,49837,Delta,2015-10-05,2016-03-31,,Warning letter,N,"478.124(c)(1), 478.124(c)(4)",https://atf-inspection-reports.s3.amazonaws.com/774050-2016-0046-B1B.pdf
766020-2016-0088-B1B,8-23-071-01-8G-14965,Dealer,"Mallin, Gerald W",,801 Lancaster Pike,Quarryville,PA,17566,Lancaster,2015-10-01,2016-01-28,,Warning letter,N,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/766020-2016-0088-B1B.pdf
779025-2017-0106-B1B,5-48-155-01-7E-14135,Dealer,"Miller, Don R.",Don's Gun Shop,517 E 25th,Hutchinson,KS,67502,Reno,2016-10-03,2016-11-29,,Warning letter,N,"478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/779025-2017-0106-B1B.pdf
781085-2017-0026-B1B,5-75-113-07-9J-08529,Manufacturer,LMSW FFL LLC,LMSW Firearms,1878 Firman Dr Ste E,Richardson,TX,75081,Dallas,2016-10-27,2017-01-23,,Warning letter,N,"478.54, 478.123(a), 478.123(b), 478.123(d), 479.102(a)(2)",https://atf-inspection-reports.s3.amazonaws.com/781085-2017-0026-B1B.pdf
782110-2015-0468-B1B,5-74-025-01-7C-04595,Dealer,Wal-mart Stores Texas LLC Wal-mart #463,,502 E FM 351,Beeville,TX,78102,Bee,2015-09-01,2015-12-21,,Warning letter,N,"478.129(b), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/782110-2015-0468-B1B.pdf
768075-2016-0071-B1B,1-54-047-02-4A-00677,Pawnbroker,"Tempo Ventures, Inc",Culpeper Pawnbroker,255 South Gate Shopping Center,Culpeper,VA,22701,Culpeper,2015-12-16,2016-03-24,,Warning letter,N,"478.125(e), 478.21(a), 478.124(c)(1), 478.124(c)(3)(iv), 478.124(c)(5), 478.126a, 478.99(c)",https://atf-inspection-reports.s3.amazonaws.com/768075-2016-0071-B1B.pdf
779055-2016-0013-B1B,5-43-113-07-3L-08049,Manufacturer,Steele Point Guns,,1126 E Cherry Street,Troy,MO,63379,Lincoln,2015-10-01,2016-01-22,,Warning letter,N,"478.126a, 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/779055-2016-0013-B1B.pdf
778035-2017-0132-B1B,3-41-093-01-7G-35738,Dealer,"Finnegan, Patrick H.",Shamrock Shooting Preserve,59563 300th St.,Litchfield,MN,55355,Meeker,2016-10-07,2017-05-20,,Warning letter,N,"478.125(e), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.99(b)(2), 478.121(c), 478.39a",https://atf-inspection-reports.s3.amazonaws.com/778035-2017-0132-B1B.pdf
769020-2017-0115-B1B,8-22-011-01-7E-08540,Dealer,"Sacco, Vincent Jr. & Sacco, Judith E",Butch's Gun World,1025 W. Landis Ave,Vineland,NJ,08360,Cumberland,2017-01-11,2017-05-05,,Warning letter,N,"478.125(e), 478.21(a), 478.124(c)(1)",https://atf-inspection-reports.s3.amazonaws.com/769020-2017-0115-B1B.pdf
777040-2017-0063-B1B,5-72-063-07-9E-04232,Manufacturer,Bear Creek Firearms LLC,,29880 Marsh Dr,Livingston,LA,70754,Livingston Parish,2016-10-04,2017-01-03,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.126a, 478.129(b)",https://atf-inspection-reports.s3.amazonaws.com/777040-2017-0063-B1B.pdf
782110-2017-0221-B1B,5-74-479-02-9G-04337,Pawnbroker,LBP LP,L Bufalo Pawn,3410 Clark Blvd,Laredo,TX,78043,Webb,2017-02-14,2017-03-21,,Warning letter,N,"478.124(c)(1), 478.124(c)(3)(i), 478.102(c)",https://atf-inspection-reports.s3.amazonaws.com/782110-2017-0221-B1B.pdf
776055-2017-0089-B1B,1-62-037-02-8G-08516,Pawnbroker,Cash America Inc. Of Tennessee,Cash America Pawn Of Nashville #11,2517 Murfreesboro Rd,Nashville,TN,37217,Davidson,2016-10-03,2016-11-28,,Warning letter,N,"478.125(e), 26 USC 5861(d)",https://atf-inspection-reports.s3.amazonaws.com/776055-2017-0089-B1B.pdf
773030-2016-0417-B1B,4-34-095-01-7D-03221,Dealer,"Simmet, Bruce E",Old Trooper Gunsmiths,5309 Springdale Avenue,Toledo,OH,43613,Lucas,2016-03-01,2016-04-26,,Warning letter,N,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/773030-2016-0417-B1B.pdf
781110-2016-0217-B1B,5-75-135-07-9C-08008,Manufacturer,Walking Dead Firearms LLC,,2500 E Pearl,Odessa,TX,79761,Ector,2016-07-18,2016-09-29,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/781110-2016-0217-B1B.pdf
782110-2016-0080-B1B,5-74-481-07-7D-06900,Manufacturer,"Moore, David R",Moore Accuracy,3861 County Rd 285,East Bernard,TX,77435,Wharton,2015-10-02,2016-02-23,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv)",https://atf-inspection-reports.s3.amazonaws.com/782110-2016-0080-B1B.pdf
773030-2016-0049-B1B,4-34-169-01-8F-00035,Dealer,All Seasons Sports Center Inc,,2700 Akron Hoad,Wooster,OH,44691,Wayne,2015-10-02,2015-11-23,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/773030-2016-0049-B1B.pdf
784025-2016-0168-B1B,9-95-037-07-6D-01408,Manufacturer,"Eubanks, Shawn Cyral",WT Firearms,26740 Oak Avenue Unit C,Santa Clarita,CA,91351,Los Angeles,2015-10-02,2015-12-17,,Warning letter,N,"478.21(a), 478.99(c), 478.124(c)(1)",https://atf-inspection-reports.s3.amazonaws.com/784025-2016-0168-B1B.pdf
773075-2016-0123-B1B,4-35-081-07-8E-06383,Manufacturer,"J&a Allen, LLC",Atterbury Shooting Complex,4250 E Edinburgh St,Edinburgh,IN,46124,Johnson,2016-01-08,2016-08-04,,Warning letter,N,"478.123(d), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.21(a), 478.102(a)(2)(ii), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/773075-2016-0123-B1B.pdf
775045-2016-0047-B1B,4-61-009-01-8G-03397,Dealer,"Digitech Services, Inc.",,614 Columbia Avenue,Glasgow,KY,42141,Barren,2015-10-16,2016-03-24,,Warning letter,N,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/775045-2016-0047-B1B.pdf
760555-2016-0057-B1B,1-58-163-02-8G-05382,Pawnbroker,Louisville Package Shop Inc,Mels Mart,203 Peachtree St,Louisville,GA,30434,Jefferson,2015-11-04,2016-02-03,,Warning letter,N,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/760555-2016-0057-B1B.pdf
760560-2017-0169-B1B,1-58-227-01-8H-08179,Dealer,"Moss Firearms, LLC",,1987 Highway 53 West,Jasper,GA,30143,Pickens,2017-06-07,2017-06-27,,Warning letter,N,"478.125(e), 478.124(c)(1), 478.102(a)(1), 478.21(a), 478.124(c)(4), 478.124(c)(5)",https://atf-inspection-reports.s3.amazonaws.com/760560-2017-0169-B1B.pdf
767035-2017-0094-B1B,1-59-105-01-8K-19249,Dealer,Rapture Guns & Knives Inc,,8216 US 98 North,Lakeland,FL,33809,Polk,2017-01-10,2017-03-08,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(4), 478.124(c)(5), 478.102(a), 478.126a, 478.124(a), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/767035-2017-0094-B1B.pdf
776085-2016-0012-B1B,1-63-003-01-6L-03624,Dealer,Owens Outdoors LLC,,161 Hand Ave,Bay Minette,AL,36507,Baldwin,2015-10-01,2016-06-09,,Warning letter,N,"478.126a, 478.124(c)(3)(iv), 478.124(c)(1), 478.21(a)",https://atf-inspection-reports.s3.amazonaws.com/776085-2016-0012-B1B.pdf
761025-2017-0062-B1B,8-52-013-07-8C-04248,Manufacturer,"Walker, Brian Todd",SCSG,7737 Woodbine Rd,Woodbine,MD,21797,Carroll,2016-10-01,2017-03-01,,Warning letter,N,478.92(a)(1)(i),https://atf-inspection-reports.s3.amazonaws.com/761025-2017-0062-B1B.pdf
763025-2015-0360-B1B,1-56-097-02-6B-03155,Pawnbroker,Statesville Jewelry & Loan Co.,,110 South Center St,Statesville,NC,28677,Iredell,2015-07-13,2015-11-20,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/763025-2015-0360-B1B.pdf
781085-2016-0374-B1B,5-75-097-01-4L-14642,Dealer,"Gehrig, James Charles",Gehrig Hdwe,210 North Main,Muenster,TX,76252,Cooke,2016-05-03,2016-06-08,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.102(a)(3), 478.131(a)(2), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/781085-2016-0374-B1B.pdf
764035-2016-0060-B1B,1-66-009-01-9A-00190,Dealer,"Echevarria-rodriguez, Maribel",Armeria De La Montana,"Calle San Jose #51, Edifi.little Plaza, Local # 2",Aibonito,PR,00705,Aibonito,2015-10-05,2016-03-07,,Warning letter,N,"478.21(a), 478.124(c)(3)(iv), 478.124(c)(3)(i), 478.124(c)(1)",https://atf-inspection-reports.s3.amazonaws.com/764035-2016-0060-B1B.pdf
782110-2017-0019-B1B,5-74-469-02-8A-07467,Pawnbroker,Cash America Pawn LP,Cash America Pawn Of Victoria #01,5508 N Navarro,Victoria,TX,77904,Victoria,2016-10-04,2016-11-22,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.126a, 478.129(b)",https://atf-inspection-reports.s3.amazonaws.com/782110-2017-0019-B1B.pdf
785110-2016-0197-B1B,9-86-013-01-6H-06528,Dealer,"Accuracy Speaks Parts And Accessories, LLC",Accuracy Speaks,3960 N. Usery Pass Rd.,Mesa,AZ,85207,Maricopa,2016-06-10,2016-09-27,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(5), 478.125(e), 478.39a",https://atf-inspection-reports.s3.amazonaws.com/785110-2016-0197-B1B.pdf
788070-2017-0083-B1B,5-83-025-07-9F-01324,Manufacturer,Teapot Creek Precision Gunsmithing LLC,Teapot Creek Precision,26795 N Hwy 259,Casper,WY,82601,Natrona,2016-12-05,2017-02-15,,Warning letter,N,"478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.21(a), 478.124(c)(5)",https://atf-inspection-reports.s3.amazonaws.com/788070-2017-0083-B1B.pdf
774050-2016-0080-B1B,4-38-055-02-7D-07782,Pawnbroker,Ace Bus II LLC,,1396 S Airport Rd W,Traverse City,MI,49686,Grand Traverse,2015-10-06,2017-01-12,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.102(a)",https://atf-inspection-reports.s3.amazonaws.com/774050-2016-0080-B1B.pdf
781025-2016-0183-B1B,5-75-139-02-6E-00398,Pawnbroker,Parish Pawnshop Inc,Parish Pawnshop,102 North Highway 77,Waxahachie,TX,75165,Ellis,2015-12-18,2016-09-08,,Warning letter,N,"478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/781025-2016-0183-B1B.pdf
760555-2017-0142-B1B,1-58-069-02-8F-03182,Pawnbroker,"Speedy Cash Of Savannah, Inc.",,529 S. Peterson Avc.,Douglas,GA,31533,Coffee,2017-02-06,2017-06-09,,Warning letter,N,"478.102(a)(2)(ii), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/760555-2017-0142-B1B.pdf
775060-2017-0051-B1B,4-55-039-07-8H-35398,Manufacturer,"Culpepper, Charles W",Wvguns,412 12th St.,Dunbar,WV,25064,Kanawha,2016-10-06,2016-12-29,,Warning letter,N,"478.39a, 478.124(a), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/775060-2017-0051-B1B.pdf
777040-2015-0492-B1B,5-72-051-01-6M-17914,Dealer,"Turner, Arthur Leon",A-1 Gun & Repair,5046 West Esplanade,Metairie,LA,70006,Jefferson Parish,2015-09-15,2015-11-02,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(4), 478.124(c)(5), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/777040-2015-0492-B1B.pdf
777040-2017-0172-B1B,5-72-115-01-9G-02947,Dealer,"Max's Gun Repair, LLC",,2924 VFW Road,Leesville,LA,71446,Vernon Parish,2016-12-30,2017-02-21,,Warning letter,N,"478.124(c)(3)(iv), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/777040-2017-0172-B1B.pdf
760555-2016-0112-B1B,1-58-321-01-8G-79991,Dealer,Thomas L. Marchman,Sylvester Fabric & Sporting Center,114 N. Isabella St.,Sylvester,GA,31791,Worth,2015-12-09,2016-01-21,,Warning letter,N,"478.125(e), 478.129(b)",https://atf-inspection-reports.s3.amazonaws.com/760555-2016-0112-B1B.pdf
760560-2016-0134-B1B,1-58-063-02-8M-05521,Pawnbroker,"Moss Pawn, LLC",Moss Pawn Shop,6382 Old Dixie Road,Jonesboro,GA,30236,Clayton,2016-01-20,2016-09-07,,Warning letter,N,"478.125(e), 478.102(c)",https://atf-inspection-reports.s3.amazonaws.com/760560-2016-0134-B1B.pdf
767035-2017-0117-B1B,1-59-105-02-7K-43617,Pawnbroker,Bartow Jewelry & Pawn Shop Inc,,425 East Main Street,Bartow,FL,33830,Polk,2017-02-14,2017-03-29,,Warning letter,N,"478.22(a), 478.39a, 478.124(c)(3)(iv), 478.126a, 478.21(a), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/767035-2017-0117-B1B.pdf
777060-2017-0062-B1B,5-71-031-07-8G-03642,Manufacturer,"Pickering, John Travis",John's Tactical Finishes,3310 Redwood Cove,Jonesboro,AR,72404,Craighead,2016-10-03,2016-12-01,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.129(b), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/777060-2017-0062-B1B.pdf
768090-2016-0031-B1B,1-54-155-07-7E-08513,Manufacturer,Dublin Pawn LLC,E S Ramey Firearms,615 Broad Street,Dublin,VA,24084,Pulaski,2015-10-13,2016-01-29,,Warning letter,N,"478.21(a), 478.124(c)(3)(iv), 478.124(c)(5), 478.92(a)(1)(ii)(C), 478.92(a)(1)(ii)(D), 478.123(a), 478.123(d)",https://atf-inspection-reports.s3.amazonaws.com/768090-2016-0031-B1B.pdf
781110-2016-0165-B1B,5-74-141-07-5L-05918,Manufacturer,Olhg Enterprises LLC,West Wolfen Sporting Goods,10912 Loma De Color,El Paso,TX,79934,El Paso,2016-04-13,2016-06-30,,Warning letter,N,478.123(a),https://atf-inspection-reports.s3.amazonaws.com/781110-2016-0165-B1B.pdf
777060-2016-0138-B1B,5-71-145-07-7E-03074,Manufacturer,"Nfagear, LLC",,109 Chimney Rock Rd.,Beebe,AR,72012,White,2015-12-01,2016-09-12,,Warning letter,N,"478.123(a), 478.123(d), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 479.102(a), 478.92(a)(1)",https://atf-inspection-reports.s3.amazonaws.com/777060-2016-0138-B1B.pdf
782065-2017-0203-B1B,5-74-259-01-8F-07903,Dealer,"Montechema Firearms, LLC",Montechema Firearms,104 B E San Antonio Avc,Boerne,TX,78006,Kendall,2017-01-31,2017-03-09,,Warning letter,N,"478.102(d)(1), 478.102(a)(1)",https://atf-inspection-reports.s3.amazonaws.com/782065-2017-0203-B1B.pdf
777040-2017-0165-B1B,5-72-009-01-7J-03440,Dealer,"Whitmore, Brian Keith",Deer Ridge Guns And Ammo,212 Deer Ridge LN,Marksville,LA,71351,Avoyelles Parish,2016-12-29,2017-05-18,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(iv), 478.124(c)(5)",https://atf-inspection-reports.s3.amazonaws.com/777040-2017-0165-B1B.pdf
782110-2016-0159-B1B,5-74-215-01-8G-05537,Dealer,"Rangel, Salvador Jr III",Second Amendment Arms,5611 S Tower Rd Ste C,Edinburg,TX,78542,Hidalgo,2015-12-16,2016-02-22,,Warning letter,N,"478.124(c)(1), 478.124(c)(3)(iv), 478.126a, 478.21(a), 478.99(a)",https://atf-inspection-reports.s3.amazonaws.com/782110-2016-0159-B1B.pdf
787065-2017-0107-B1B,9-91-077-07-9D-04977,Manufacturer,"Philin Enterprises, LLC",Shogun Brokers,8091 Van Belle Road,Sunnyside,WA,98944,Yakima,2016-10-17,2017-03-31,,Warning letter,N,"478.123(a), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5)",https://atf-inspection-reports.s3.amazonaws.com/787065-2017-0107-B1B.pdf
782050-2016-0207-B1B,5-76-201-01-9F-01714,Dealer,Tactical Group Of Texas LLC,Texas Tactical Gear,15255 Gulf Freeway Ste 139a,Houston,TX,77034,Harris,2016-03-22,2017-04-04,,Warning letter,N,"478.126a, 18 USC 923(g)(5)(A)",https://atf-inspection-reports.s3.amazonaws.com/782050-2016-0207-B1B.pdf
765075-2016-0216-B1B,6-16-029-01-9B-01374,Dealer,Wolcott Guns Inc.,,3052 Walden Ave,Depew,NY,14043,Erie,2016-08-15,2016-11-15,,Warning letter,N,478.102(c),https://atf-inspection-reports.s3.amazonaws.com/765075-2016-0216-B1B.pdf
775060-2016-0054-B1B,4-55-081-01-6H-01976,Dealer,Shooter's Roost LLC,,2301 South Fayette Street,Beckley,WV,25801,Raleigh,2015-10-21,2016-03-01,,Warning letter,N,"478.22(a), 478.125(e), 478.21(a), 478.124(c)(1), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/775060-2016-0054-B1B.pdf
